Syntax error;Sözdizimi hatası;Bu programda sözdizimi hatası var.;There is a syntax error in this program.
User interface;Kullanıcı arabirimi;Bu programın kullanıcı arabirimi, kullanımı kolaydır.;This program's user interface is easy to use.
Hardware driver;Donanım sürücüsü;Bu donanımın çalışması için gerekli olan sürücüyü yükledik.;We installed the driver required for this hardware to function.
Application;Uygulama;Bu uygulama, mobil cihazlar için yazılmıştır.;This application is written for mobile devices.
User;Kullanıcı;Bu programı kullanmak için kullanıcı adı ve şifre gerekir.;A username and password are required to use this program.
Source code;Kaynak kod;Kaynak kod, bir programın yazılım diline çevrilmiş hali olup, derleyici tarafından çalıştırılır.;The source code is the version of a program written in a programming language and run by the compiler.
Object code;Nesne kod;Nesne kod, derleyici tarafından kaynak koddan üretilen çalıştırılabilir kodlardır.;Object code is executable code produced by the compiler from source code.
Virtual machine;Sanal makine;Bu sanal makine, bir işletim sistemi çalıştırmak için kullanılır.;This virtual machine is used to run an operating system.
Hardware accelerator;Donanım hızlandırıcı;Bu donanım hızlandırıcı, işlemci işlemlerini hızlandırır.;This hardware accelerator speeds up processor operations.
Server;Sunucu;Bu sunucu, ağdaki diğer bilgisayarların isteklerini yönetir.;This server manages requests from other computers on the network.
Client;İstemci;Bu istemci, sunucudan veri ister.;This client requests data from the server.
Graphical user interface;Grafiksel kullanıcı arabirimi;Bu programın grafiksel kullanıcı arabirimi, kullanımı kolaydır.;This program's graphical user interface is easy to use.
Command line interface;Komut satırı arabirimi;Bu program, komut satırı arabirimi kullanılarak çalıştırılır.;This program is run using a command line interface.
Kernel;Çekirdek;Bu işletim sisteminin çekirdeği, sistem çağrılarını yönetir.;The kernel of this operating system manages system calls.
Linker;Bağlayıcı;Bağlayıcı, farklı kütüphane dosyalarını bir arada çalıştırılabilir bir dosya oluşturur.;The linker creates a single executable file from different library files.
File;Dosya;Bu dosya, yazılım kodlarını içerir.;This file contains software code.
Folder;Klasör;Bu klasör, farklı dosyaları sınıflandırmak için kullanılır.;This folder is used to classify different files.
Directory;Dizin;Bu dizin, dosya ve klasörlerin yolunu gösterir.;This directory shows the path to files and folders.
System call;Sistem çağrısı;Bu program, bir sistem çağrısı yapar ve bellekten veri okur.;This program makes a system call and reads data from memory.
Cache;Önbellek;Bu bilgisayarın önbelleği, çalışma hızını arttırmak için kullanılır.;This computer's cache is used to increase the speed of operation.
Application programming interface;Uygulama programlama arabirimi;Bu API, farklı yazılımlar arasında veri paylaşımını sağlar.;This API allows for data sharing between different software.
Script;Betik;Bu betik, web sayfalarında çalışan kodlardır.;Scripts are code that runs on web pages.
Virtualization;Sanallaştırma;Bu makine, sanallaştırma yöntemiyle birden fazla işletim sistemi çalıştırabilir.;This machine can run multiple operating systems using the virtualization method.
Encryption;Şifreleme;Bu veri, şifreleme yöntemiyle güvenli bir şekilde saklanır.;This data is stored securely using the encryption method.
Cloud computing;Bulut bilişim;Bu uygulama, bulut bilişim teknolojisi kullanılarak çalışır.;This application works using cloud computing technology.
Data mining;Veri madenciliği;Veri madenciliği, büyük veri setlerini inceleyerek anlamlı bilgi çıkarma işlemidir.;Data mining is the process of analyzing large data sets to extract meaningful information.
Machine learning;Makine öğrenimi;Makine öğrenimi, bilgisayar sistemlerinin kendi kendine öğrenme yeteneğine sahip olmasıdır.;Machine learning is the ability of computer systems to learn on their own.
Neural network;Sinir ağı;Sinir ağı, beyin fonksiyonlarını taklit eden yapay sinir ağıdır.;A neural network is an artificial neural network that mimics brain functions.
Deep learning;Derin öğrenme;Derin öğrenme, sinir ağlarının çok katmanlı yapısını kullanan makine öğrenimidir.;Deep learning is machine learning that uses the multi-layered structure of neural networks.
Big data;Büyük veri;Büyük veri, çok büyük ve çeşitli veri setleridir.;Big data is very large and diverse data sets.
Natural language processing;Doğal dil işleme;Doğal dil işleme, bilgisayar sistemlerinin doğal dil kullanımını anlamasıdır.;Natural language processing is the ability of computer systems to understand the use of natural language.
Database;Veritabanı;Bu veritabanı, çok sayıda veriyi saklar ve arama yapmayı kolaylaştırır.;This database stores a large amount of data and makes it easier to search.
Cloud storage;Bulut depolama;Bu bulut depolama sistemi, verilerinizi güvenli bir şekilde saklar.;This cloud storage system stores your data securely.
Internet of things;İnternet nesneleri;İnternet nesneleri, internete bağlı cihazlardır.;The Internet of Things is devices connected to the internet.
Cybersecurity;Siber güvenlik;Siber güvenlik, internet üzerinden yapılan faaliyetlerin güvenliğini sağlar.;Cybersecurity ensures the security of activities on the internet.
Distributed system;Dağıtık sistem;Dağıtık sistemler, birbirleriyle iletişim kuran birçok bilgisayar ve cihazdan oluşur.;Distributed systems consist of multiple computers and devices that communicate with each other.
Web server;Web sunucusu;Web sunucusu, internet üzerinden istekleri yönetir.;A web server manages requests over the internet.
Domain name;Alan adı;Bu alan adı, internet üzerinde bir web sitesine ait adı verir.;This domain name gives the name of a website on the internet.
Web hosting;Web barındırma;Web barındırma, bir web sitesinin internet üzerinde erişilebilir olmasını sağlar.;Web hosting makes a website accessible on the internet.
Application server;Uygulama sunucusu;Uygulama sunucusu, uygulamaların çalıştırılmasını sağlar.;The application server enables the execution of applications.
Load balancer;Yük dengeleyici;Yük dengeleyici, ağdaki istekleri eşit şekilde dağıtır.;The load balancer distributes requests on the network equally.
Database server;Veritabanı sunucusu;Veritabanı sunucusu, veritabanının çalıştırılmasını ve yönetilmesini sağlar.;The database server enables the operation and management of the database.
Firewall;Güvenlik duvarı;Güvenlik duvarı, bilgisayar ağının güvenliğini sağlar.;The firewall ensures the security of the computer network.
Internet service provider;İnternet hizmet sağlayıcı;İnternet hizmet sağlayıcı, internet erişimini sağlar.;The internet service provider provides internet access.
Router;Yönlendirici;Yönlendirici, ağ üzerindeki verileri yönlendirir.;The router directs data on the network.
Operating system;İşletim sistemi;Bu bilgisayarın işletim sistemi, Windows'tur.;The operating system of this computer is Windows.
File system;Dosya sistemi;Dosya sistemi, bilgisayardaki dosyaların ve klasörlerin nasıl saklandığını düzenler.;The file system organizes how files and folders are stored on the computer.
Processor;İşlemci;İşlemci, bilgisayarın işlemlerini yapar.;The processor performs the operations of the computer.
Memory;Bellek;Bu bilgisayarın belleği, 8 GB'dır.;The memory of this computer is 8 GB.
Hard drive;Sabit disk;Bu bilgisayarın sabit disk alanı, 1 TB'dır.;The hard drive space of this computer is 1 TB.
Input device;Giriş cihazı;Bu bilgisayarın giriş cihazı, klavyedir.;The input device of this computer is the keyboard.
Output device;Çıkış cihazı;Bu bilgisayarın çıkış cihazı, ekran ve hoparlördür.;The output device of this computer is the screen and speakers.
Peripheral;Peripheral;Bu bilgisayara takılan yazıcı, bir peripheral cihazdır.;The printer attached to this computer is a peripheral device.
Software;Yazılım;Bu bilgisayarın yazılımı, güncel olsun diye sürekli güncellenir.;The software of this computer is constantly updated to be current.
Storage;Depolama;Bu bilgisayarın depolama alanı, 1 TB'dır.;The storage space of this computer is 1 TB.
Algorithm;Algoritma;Bu algoritma, veri sıralama işlemini yapar.;This algorithm performs the data sorting process.
Syntax;Sözdizimi;Bu programlama dilinin sözdizimi, diğerlerinden farklıdır.;The syntax of this programming language is different from others.
Debugging;Hata ayıklama;Bu programın hatalarını ayıklamak için debugging yöntemleri kullanılır.;Debugging methods are used to identify errors in this program.
Compiler;Derleyici;Bu derleyici, kaynak kodu çalıştırılabilir bir dosyaya çevirir.;This compiler converts source code into an executable file.
Interpreter;Yorumlayıcı;Yorumlayıcı, kaynak kodu doğrudan çalıştırır.;The interpreter directly executes the source code.
Library;Kütüphane;Bu kütüphane, farklı programlar tarafından kullanılan fonksiyonları içerir.;This library contains functions used by different programs.
Variable;Değişken;Bu değişken, programın çalışma sırasında değişebilir.;This variable can change during the execution of the program.
Data type;Veri türü;Bu veri türü, tam sayılardır.;This data type is integers.
Parameter;Parametre;Bu fonksiyonun parametresi, bir veri türüdür.;The parameter of this function is a data type.
Function;Fonksiyon;Bu fonksiyon, veri işleme işlemini yapar.;This function performs the data processing process.
API;Uygulama programlama arabirimi;Bu API, farklı yazılımlar arasında veri paylaşımını sağlar.;This API allows for data sharing between different software.
Byte;Bayt;Bu dosya, 500 bayt'tır.;This file is 500 bytes.
Bit;Bit;Bu bilgi, 8 bit'tir.;This information is 8 bits.
Binary;İkilik;İkilik sistemde, sadece 0 ve 1 sayıları kullanılır.;In the binary system, only the numbers 0 and 1 are used.
HTML;HTML;Bu web sayfası, HTML kodları kullanılarak oluşturulmuştur.;This web page was created using HTML code.
CSS;CSS;Bu web sayfasının görünümü, CSS kodları kullanılarak oluşturulmuştur.;The appearance of this web page was created using CSS code.
JavaScript;JavaScript;Bu web sayfasının özellikleri, JavaScript kodları kullanılarak yapılmıştır.;The features of this web page were made using JavaScript code.
HTTP;HTTP;Bu web sayfası, HTTP protokolü kullanılarak yüklenmiştir.;This web page was loaded using the HTTP protocol.
URL;URL;Bu web sayfasının URL'si, www.example.com'tur.;The URL of this web page is www.example.com.
SEO;SEO;Bu web sayfası, SEO ölçütlerine uygun olarak tasarlandı.;This web page was designed according to SEO criteria.
Pixel;Pixsel;Bu ekranın çözünürlüğü, 1920x1080 pixseldir.;The resolution of this screen is 1920x1080 pixels.
Bandwidth;Bant genişliği;Bu internet bağlantısının bant genişliği, 10 Mbps'tir.;The bandwidth of this internet connection is 10 Mbps.
Download;İndirme;Bu dosyayı indirmek için tıklayın.;Click to download this file.
Upload;Yükleme;Bu dosyayı yüklemek için tıklayın.;Click to upload this file.
Router;Yönlendirici;Bu yönlendirici, ağ üzerindeki verileri yönlendirir.;The router directs data on the network.
Modem;Modem;Bu modem, internet bağlantısını sağlar.;This modem provides internet connection.
Server;Sunucu;Bu sunucu, istekleri yönetir.;This server manages requests.
Client;İstemci;Bu istemci, sunucudan veri ister.;This client requests data from the server.
LAN;LAN;Bu bilgisayar ağı, LAN ağıdır.;This computer network is a LAN network.
WAN;WAN;Bu bilgisayar ağı, WAN ağıdır.;This computer network is a WAN network.
Cache;Önbellek;Bu tarayıcının önbelleği, hızlı erişim için sayfaları saklar.;The cache of this browser stores pages for fast access.
Virus;Virus;Bu bilgisayarda bir virus tespit edildi.;A virus has been detected on this computer.
Trojan;Trojen;Bu trojen, bilgisayarınızın güvenliğini tehlikeye atar.;This Trojan puts the security of your computer at risk.
Worm;Solucan;Bu solucan, ağ üzerinden yayılır.;This worm spreads over the network.
Malware;Zararlı yazılım;Bu bilgisayarda zararlı yazılım tespit edildi.;Malware has been detected on this computer.
Spyware;Casus yazılım;Bu casus yazılım, bilgisayarınızın faaliyetlerini izler.;This spyware tracks the activity of your computer.
Adware;Reklam yazılımı;Bu reklam yazılımı, rahatsız edici reklamlar gösterir.;This adware displays annoying advertisements.
Rootkit;Rootkit;Bu rootkit, bilgisayarınızın güvenliğini tehlikeye atar.;This rootkit puts the security of your computer at risk.
Ransomware;Ransomware;Bu ransomware, verilerinizi şifreler ve para talep eder.;This ransomware encrypts your data and demands payment.
Phishing;Phishing;Bu phishing e-postası, güvenlik bilgilerinizi çalmayı amaçlar.;This phishing email aims to steal your security information.
Cloud computing;Bulut bilişim;Bulut bilişim, internet üzerinden sunulan hizmetleri kullanır.;Cloud computing uses services provided over the internet.
Big data;Büyük veri;Büyük veri, çok miktarda verinin işlenmesini gerektirir.;Big data requires the processing of large amounts of data.
Artificial intelligence;Yapay zeka;Yapay zeka, bilgisayarların insan gibi düşünme yetisi vardır.;Artificial intelligence allows computers to think like humans.
Machine learning;Makine öğrenimi;Makine öğrenimi, verilerden öğrendiği bilgileri kullanarak işlem yapar.;Machine learning performs operations using the information it learns from data.
Neural network;Sinir ağı;Sinir ağı, yapay zeka uygulamalarında kullanılan bir tekniktir.;A neural network is a technique used in artificial intelligence applications.
Deep learning;Derin öğrenme;Derin öğrenme, makine öğreniminde kullanılan bir tekniktir.;Deep learning is a technique used in machine learning.
Data mining;Veri madenciliği;Veri madenciliği, verilerden anlamlı bilgiler çıkarmayı amaçlar.;Data mining aims to extract meaningful information from data.
Natural language processing;Doğal dil işleme;Doğal dil işleme, insan dilini bilgisayarlar tarafından anlaşılır hale getirmeyi amaçlar.;Natural language processing aims to make human language understandable by computers.
Internet of things;İnternet nesneleri;İnternet nesneleri, internete bağlı olan nesnelerdir.;The internet of things refers to objects that are connected to the internet.
Augmented reality;Geliştirilmiş gerçeklik;Geliştirilmiş gerçeklik, gerçek dünyayı bilgisayar eklemeleriyle birleştirir.;Augmented reality combines the real world with computer additions.
Cybersecurity;Siber güvenlik;Siber güvenlik, internet üzerinden yapılan işlemlerin güvenliğini sağlar.;Cybersecurity ensures the security of transactions made over the internet.
Encryption;Şifreleme;Şifreleme, verilerin güvenliğini sağlar.;Encryption ensures the security of data.
Virtual reality;Sanal gerçeklik;Sanal gerçeklik, gerçek dünyayı taklit eden bir ortam yaratır.;Virtual reality creates an environment that mimics the real world.
Blockchain;Blok zinciri;Blok zinciri, güvenli bir veri yapısıdır.;Blockchain is a secure data structure.
Cryptocurrency;Kripto para;Kripto para, şifrelenmiş bir para birimidir.;Cryptocurrency is an encrypted currency unit.
Smart contract;Akıllı sözleşme;Akıllı sözleşme, bir blok zincirinde depolanan bir sözleşmedir.;A smart contract is a contract stored on a blockchain.
Digital signature;Dijital imza;Dijital imza, bir dosyanın güvenliğini doğrular.;A digital signature verifies the security of a file.
Quantum computing;Kuantum bilgisayarlar;Kuantum bilgisayarlar, çok hızlı işlem yapabilir.;Quantum computers can perform operations very quickly.
Human-computer interaction;İnsan-bilgisayar etkileşimi;İnsan-bilgisayar etkileşimi, bilgisayarların insanlar tarafından nasıl kullanılabileceğini araştırır.;Human-computer interaction research investigates how computers can be used by humans.
Operating system;İşletim sistemi;Bu bilgisayarın işletim sistemi, Windows'dur.;The operating system of this computer is Windows.
Command line;Komut satırı;Komut satırı, bir işletim sisteminde komutların girildiği yerdir.;The command line is where commands are entered in an operating system.
Graphical user interface;Grafiksel kullanıcı arabirimi;Bu programın grafiksel kullanıcı arabirimi, kullanımı kolaydır.;The graphical user interface of this program is easy to use.
Hardware;Donanım;Bu bilgisayarın donanımı, son sürümdür.;The hardware of this computer is the latest version.
Software;Yazılım;Bu yazılım, veri yönetimini kolaylaştırır.;This software makes data management easier.
Firmware;Firmware;Bu cihazın firmware'si, güncellendi.;The firmware of this device has been updated.
Cybercrime;Siber suç;Siber suç, internet üzerinden işlenen suçlardır.;Cybercrime refers to crimes committed over the internet.
Firewall;Güvenlik duvarı;Güvenlik duvarı, ağınızı korur.;The firewall protects your network.
Hack;Hackleme;Bu sistem, hackleme girişimine uğradı.;This system has suffered a hacking attempt.
Data structure;Veri yapısı;Veri yapısı, verilerin nasıl saklanacağını ve işleneceğini belirler.;The data structure determines how data is stored and processed.
Algorithm;Algoritma;Bu algoritma, verileri sıralamayı amaçlar.;This algorithm aims to sort data.
Compiler;Derleyici;Derleyici, kaynak kodlarının çalıştırılabilir bir hale getirilmesini sağlar.;The compiler converts source code into an executable form.
Interpreter;Yorumlayıcı;Yorumlayıcı, kaynak kodlarını doğrudan çalıştırır.;The interpreter runs source code directly.
Syntax;Sözdizimi;Bu programlama dilinin sözdizimi, özel kurallara sahiptir.;The syntax of this programming language has special rules.
Semantic;Anlambilim;Bu programın anlambilim hataları, çalışmıyor.;Semantic errors in this program are causing it not to work.
Debugging;Hata ayıklama;Bu programda hata ayıklama yapılıyor.;This program is undergoing debugging.
Recursion;Özyineleme;Bu fonksiyon özyineleme yapar.;This function uses recursion.
Inheritance;Kalıtım;Bu sınıf, diğer sınıftan kalıtım alır.;This class inherits from another class.
Polymorphism;Çok biçimlilik;Çok biçimlilik, aynı isimde farklı işlevleri gerçekleştirebilme yeteneğidir.;Polymorphism is the ability to perform different functions with the same name.
Event-driven programming;Olay odaklı programlama;Olay odaklı programlama, kullanıcının bir eylemi üzerine programın nasıl tepki vereceğini belirler.;Event-driven programming determines how the program will respond to a user's action.
Thread;İş parçacığı;Bu programda birden fazla iş parçacığı çalışır.;This program has multiple threads running.
Concurrency;Eşzamanlılık;Bu programda eşzamanlılık kullanılır.;This program uses concurrency.
Parallelism;Paralellik;Bu programda paralellik kullanılır.;This program uses parallelism.
Socket;Soket;Bu soket, internet bağlantısı sağlar.;This socket provides an internet connection.
Port;Port;Bu port, verilerin gönderilmesini ve alınmasını sağlar.;This port allows for the sending and receiving of data.
Protocol;Protokol;Bu protokol, verilerin nasıl gönderileceğini belirler.;This protocol determines how data will be sent.
Packet;Paket;Veriler, paketler halinde gönderilir.;Data is sent in packets.
Pipeline;Boru hattı;Bu boru hattı, verilerin hızlı işlenmesini sağlar.;This pipeline enables fast processing of data.
Load balancer;Yük dengeleyici;Bu yük dengeleyici, talepleri dengeli bir şekilde dağıtır.;This load balancer distributes requests evenly.
Distributed system;Dağıtık sistem;Bu dağıtık sistem, birden fazla bilgisayarın bir arada çalışmasını sağlar.;This distributed system allows multiple computers to work together.
Client-server architecture;İstemci-sunucu mimarisi;İstemci-sunucu mimarisi, istemcilerin sunuculara talepte bulunmasını sağlar.;Client-server architecture allows clients to make requests to servers.
Serverless computing;Sunucusuz hesaplama;Sunucusuz hesaplama, sunucuların kullanılmamasını sağlar.;Serverless computing allows for the use of servers.
Containerization;Konteynerleştirme;Konteynerleştirme, uygulamaların dağıtımını ve çalıştırılmasını kolaylaştırır.;Containerization makes it easy to distribute and run applications.
Microservices;Mikro hizmetler;Mikro hizmetler, büyük sistemleri küçük hizmetler halinde böler.;Microservices divide large systems into small services.
Service-oriented architecture;Hizmet-merkezli mimari;Hizmet-merkezli mimari, hizmetler arasında etkileşim sağlar.;Service-oriented architecture enables interaction between services.
Virtualization;Sanallaştırma;Sanallaştırma, fiziksel donanımın birkaç sanal makine üzerinde paylaşılmasını sağlar.;Virtualization allows for the sharing of physical hardware across multiple virtual machines.
Cloud native;Bulut doğal;Bulut doğal, bulut ortamında çalışan uygulamalar için tasarlanmıştır.;Cloud native is designed for applications that run in the cloud environment.
Hybrid cloud;Hibrid bulut;Hibrid bulut, karışık bir bulut ortamıdır.;A hybrid cloud is a mixed cloud environment.
System call;Sistem çağrısı;Bu program, bir sistem çağrısı yapar.;This program makes a system call.
Application programming interface;Uygulama programlama arabirimi;Bu uygulama programlama arabirimi, farklı sistemler arasında etkileşimi sağlar.;This application programming interface enables interaction between different systems.
Library;Kütüphane;Bu kütüphane, yararlı fonksiyonlar içerir.;This library contains useful functions.
Framework;Çerçeve;Bu çerçeve, uygulama geliştirmeyi kolaylaştırır.;This framework makes it easier to develop applications.
Software development kit;Yazılım geliştirme kiti;Bu yazılım geliştirme kiti, uygulama geliştirmeyi kolaylaştırır.;This software development kit makes it easier to develop applications.
Software as a service;Yazılım hizmet olarak;Bu yazılım hizmet olarak sunulur.;This software is offered as a service.
Platform as a service;Platform hizmet olarak;Bu platform hizmet olarak sunulur.;This platform is offered as a service.
Infrastructure as a service;Altyapı hizmet olarak;Bu altyapı hizmet olarak sunulur.;This infrastructure is offered as a service.
Serverless computing;Sunucusuz hesaplama;Sunucusuz hesaplama, sunucuların kullanılmamasını sağlar.;Serverless computing allows for the use of servers.
Artificial intelligence;Yapay zeka;Yapay zeka, makine öğrenimi ve benzer teknolojileri kullanarak insan gibi düşünmeyi amaçlar.;Artificial intelligence aims to think like a human using machine learning and similar technologies.
Machine learning;Makine öğrenimi;Makine öğrenimi, verilerden öğrenmeyi amaçlar.;Machine learning aims to learn from data.
Deep learning;Derin öğrenme;Derin öğrenme, verilerden daha etkin öğrenmeyi amaçlar.;Deep learning aims to learn more effectively from data.
Neural network;Sinir ağı;Sinir ağı, yapay zeka uygulamalarında kullanılır.;A neural network is used in artificial intelligence applications.
Natural language processing;Doğal dil işleme;Doğal dil işleme, insan dilini anlama ve kullanma yeteneğine sahip yapay zeka uygulamalarıdır.;Natural language processing are artificial intelligence applications that can understand and use human language.
Computer vision;Bilgisayar görme;Bilgisayar görme, görüntüleri anlama yeteneğine sahip yapay zeka uygulamalarıdır.;Computer vision are artificial intelligence applications that can understand images.
Speech recognition;Konuşma tanıma;Konuşma tanıma, insan sesini anlama yeteneğine sahip yapay zeka uygulamalarıdır.;Speech recognition are artificial intelligence applications that can understand human voice.
Expert system;Uzman sistem;Uzman sistem, belirli bir alanda uzman olan bir yapay zeka uygulamasıdır.;An expert system is an artificial intelligence application that is an expert in a particular field.
Data mining;Veri madenciliği;Veri madenciliği, verilerden anlam çıkarma işlemidir.;Data mining is the process of extracting meaning from data.
Big data;Büyük veri;Büyük veri, çok büyük miktarlarda veri işlemeyi gerektirir.;Big data requires the processing of very large amounts of data.
Data warehouse;Veri deposu;Veri deposu, verilerin toplu olarak saklandığı bir yerdir.;A data warehouse is a place where data is stored collectively.
Data lake;Veri gölü;Veri gölü, verilerin toplu olarak saklandığı bir yerdir.;A data lake is a place where data is stored collectively.
Data mart;Veri pazarı;Veri pazarı, veri deposu için bir alternatiftir.;A data mart is an alternative to a data warehouse.
ETL;Veri aktarımı, dönüştürme ve yükleme;ETL, veri aktarımı, dönüştürme ve yükleme işlemlerini içerir.;ETL includes the processes of data extraction, transformation, and loading.
Business intelligence;İşletme bilgisi;İşletme bilgisi, verilerin anlamlı bir şekilde kullanılmasını amaçlar.;Business intelligence aims to use data in a meaningful way.
Front-end development;Ön uç geliştirme;Ön uç geliştirme, kullanıcının görüntülediği tarafı tasarlamak ve geliştirmektir.;Front-end development is the design and development of the part of the application that the user sees.
Back-end development;Arka uç geliştirme;Arka uç geliştirme, kullanıcının görmediği tarafı tasarlamak ve geliştirmektir.;Back-end development is the design and development of the part of the application that the user does not see.
Full-stack development;Tam uç geliştirme;Tam uç geliştirme, ön uç ve arka uç geliştirmeyi kapsar.;Full-stack development includes front-end and back-end development.
User interface;Kullanıcı arabirimi;Kullanıcı arabirimi, kullanıcının uygulamayla etkileşim kurduğu yerdir.;The user interface is where the user interacts with the application.
User experience;Kullanıcı deneyimi;Kullanıcı deneyimi, kullanıcının uygulama ile etkileşim sırasında yaşadığı duyguları ve düşünceleri kapsar.;User experience includes the emotions and thoughts of the user during their interaction with the application.
Responsive design;Cevap verir tasarım;Cevap verir tasarım, farklı cihazlarda uygulamanın iyi görüntülenmesini sağlar.;Responsive design ensures that the application looks good on different devices.
Virtual reality;Sanal gerçeklik;Sanal gerçeklik, gerçek dünyayı taklit eden bir ortam sağlar.;Virtual reality provides an environment that mimics the real world.
Augmented reality;Gerçeklik artırımı;Gerçeklik artırımı, gerçek dünyaya ekstra bilgi ve nesneler ekler.;Augmented reality adds extra information and objects to the real world.
Mixed reality;Karışık gerçeklik;Karışık gerçeklik, sanal gerçeklik ve gerçeklik artırımını bir arada kullanır.;Mixed reality uses both virtual reality and augmented reality together.
3D printing;3B baskı;3B baskı, nesneleri üç boyutlu olarak yazdırmayı sağlar.;3D printing allows for the printing of objects in three dimensions.
Internet of Things;Nesnelerin interneti;Nesnelerin interneti, fiziksel nesnelerin internete bağlanmasını sağlar.;The Internet of Things allows for the connection of physical objects to the internet.
Blockchain;Blok zinciri;Blok zinciri, güvenilir bir veri yapısı sağlar.;Blockchain provides a trusted data structure.
Cryptography;Kriptografi;Kriptografi, verilerin güvenliğini sağlar.;Cryptography ensures the security of data.
Cybersecurity;Siber güvenlik;Siber güvenlik, bilgisayar ağlarının güvenliğini sağlar.;Cybersecurity ensures the security of computer networks.
Data security;Veri güvenliği;Veri güvenliği, verilerin güvenliğini sağlar.;Data security ensures the security of data.
Quantum computing;Kuantum bilgisayarlık;Kuantum bilgisayarlık, kuantum fiziği kullanarak çok daha hızlı işlem yapmayı amaçlar.;Quantum computing aims to perform calculations much faster using quantum physics.
Hashing;Hashleme;Hashleme, verileri küçük, benzersiz değerlere dönüştürme işlemidir.;Hashing is the process of converting data into small, unique values.
Encryption;Şifreleme;Şifreleme, verilerin güvenliğini sağlamak için kullanılan bir yöntemdir.;Encryption is a method used to ensure the security of data.
Digital signature;Dijital imza;Dijital imza, elektronik mesajların ve diğer verilerin kimin tarafından gönderildiğini doğrulamak için kullanılır.;A digital signature is used to verify who sent electronic messages and other data.
Public key infrastructure;Açık anahtar yapısı;Açık anahtar yapısı, şifreleme ve dijital imzalama işlemleri için gerekli olan anahtarların yönetimini sağlar.;Public key infrastructure manages the keys needed for encryption and digital signing processes.
Identity and access management;Kimlik ve erişim yönetimi;Kimlik ve erişim yönetimi, kullanıcıların sisteme nasıl erişebileceğini yönetir.;Identity and access management manages how users can access the system.
Single sign-on;Tek oturum açma;Tek oturum açma, kullanıcıların bir kerede birkaç uygulamaya giriş yapmasını sağlar.;Single sign-on allows users to log in to multiple applications at once.
Two-factor authentication;İki faktörlü kimlik doğrulama;İki faktörlü kimlik doğrulama, kullanıcı girişi için ikinci bir doğrulama adımı ekler.;Two-factor authentication adds an extra step of verification for user login.
